,eta,count(r=0.96),count(r=0.98),count(r=1.00),count(r=1.02),count(r=1.04)
154,-0.027655310621242487,18.0,6.0,6.0,6.0,6.0
155,-0.027575150300601207,18.0,6.0,6.0,6.0,6.0
156,-0.027494989979959923,18.0,6.0,6.0,6.0,6.0
157,-0.02741482965931864,18.0,6.0,6.0,6.0,6.0
158,-0.027334669338677356,18.0,6.0,6.0,6.0,6.0
159,-0.027254509018036076,18.0,6.0,6.0,6.0,6.0
160,-0.027174348697394792,18.0,6.0,6.0,6.0,6.0
161,-0.02709418837675351,18.0,6.0,6.0,6.0,6.0
162,-0.02701402805611223,18.0,6.0,6.0,6.0,6.0
163,-0.026933867735470945,18.0,6.0,6.0,6.0,6.0
164,-0.02685370741482966,18.0,6.0,6.0,6.0,6.0
165,-0.02677354709418838,18.0,6.0,6.0,6.0,6.0
166,-0.026693386773547097,18.0,6.0,6.0,6.0,6.0
167,-0.026613226452905814,18.0,6.0,6.0,6.0,6.0
168,-0.02653306613226453,18.0,6.0,6.0,6.0,6.0
169,-0.02645290581162325,18.0,6.0,6.0,6.0,6.0
170,-0.026372745490981966,18.0,6.0,6.0,6.0,6.0
171,-0.026292585170340683,18.0,6.0,6.0,6.0,6.0
172,-0.026212424849699403,18.0,6.0,6.0,6.0,6.0
173,-0.02613226452905812,18.0,6.0,6.0,6.0,6.0
174,-0.026052104208416835,18.0,6.0,6.0,6.0,6.0
175,-0.025971943887775555,18.0,6.0,6.0,6.0,6.0
176,-0.02589178356713427,18.0,6.0,6.0,6.0,6.0
177,-0.025811623246492988,18.0,6.0,6.0,6.0,6.0
178,-0.025731462925851704,18.0,6.0,6.0,6.0,6.0
179,-0.025651302605210424,18.0,6.0,6.0,6.0,6.0
180,-0.02557114228456914,18.0,6.0,6.0,6.0,6.0
181,-0.025490981963927857,18.0,6.0,6.0,6.0,6.0
182,-0.025410821643286577,18.0,6.0,6.0,6.0,6.0
183,-0.025330661322645293,18.0,6.0,6.0,6.0,6.0
184,-0.02525050100200401,18.0,6.0,6.0,6.0,6.0
185,-0.02517034068136273,18.0,6.0,6.0,6.0,6.0
186,-0.025090180360721446,18.0,6.0,6.0,6.0,6.0
